,parameters,mean,50q
365,alpha_subj(Neutral).1076,0.9463529614429479,0.9301757425673758
366,alpha_subj(Neutral).1077,0.9470378220282714,0.9327013612210663
367,alpha_subj(Neutral).1078,0.9510120157282457,0.936835732579744
368,alpha_subj(Neutral).1079,0.9477455750367597,0.9327214134626926
369,alpha_subj(Neutral).1080,0.9501806706732199,0.9357019584674855
370,alpha_subj(Neutral).1081,0.9487784022230841,0.9325236992249719
371,alpha_subj(Neutral).1083,0.9499512394992463,0.9346795654046911
372,alpha_subj(Neutral).1084,0.948003244317626,0.9328731076046323
373,alpha_subj(Neutral).1087,0.946715629874562,0.9323315752695711
374,alpha_subj(Neutral).1088,0.9475328030146548,0.9326298136661128
375,alpha_subj(Neutral).1091,0.9500802982448479,0.9335128300156322
376,alpha_subj(Neutral).1092,0.9490269775170437,0.9336964265467231
